repo,path,number_of_headings,language,cve_count
Midoruya/rust-cheat-checker,SECURITY.md,4,EN,0
aptible/omnibus-aptible-toolbelt,SECURITY.md,3,EN,0
saikathalderr/AgileAce,SECURITY.md,3,EN,0
colorette-by-kanshen/colorette-by-kanshen.github.io,SECURITY.md,1,EN,0
crossplane/crossplane-runtime,SECURITY.md,2,EN,0
NEZNAMY/TAB,SECURITY.md,1,EN,0
LingFengSBH/InteractiveWorld,SECURITY.md,3,EN,0
Darshanreddych/Team-thwart,SECURITY.md,3,EN,0
binwiederhier/ntfy,SECURITY.md,3,EN,0
nacho20232023/Taller-Github,NETWORK%20SECURITY.md,1,ES,0
nacho20232023/Taller-Github,ENDPOINT%20SECURITY.md,1,ES,0
nacho20232023/Taller-Github,SECURITY%20OPERATIONS.md,1,ES,0
iqbalfajarafrian/iqbalfajarafrian.github.io,SECURITY.md,3,EN,0
DakshCodess/localhost,SECURITY.md,3,EN,0
ReApptor/ReApptor.TypeScript.Linq,SECURITY.md,2,EN,0
bangseungsup/TIL-WIL,%5BWIL%5D%20security.md,9,KO,0
AceRockson/django.nv,SECURITY.md,3,EN,0
FERZAH/FC-INVITE-BOT-V13,SECURITY.md,3,EN,0
topdev199725/Marketplace,SECURITY.md,4,EN,0
tryoxiss/public-template,SECURITY.md,2,EN,0
Covid-19-Karnataka/Covid-19-Karnataka,SECURITY.md,3,EN,0
deepgram-templates/project-template,.github/SECURITY.md,1,EN,0
shivamvijaywargi/full-stack-eCommerce,SECURITY.md,2,EN,0
v1git12/Capstone-Project2-NYC-taxi-trip-time-prediction,SECURITY.md,2,EN,0
aptible/sidekiq-field-encryptor,SECURITY.md,3,EN,0
aptible/docker-acme,SECURITY.md,3,EN,0
PranithChowdary/code,SECURITY.md,3,EN,0
MemolinkNotes/memolink,SECURITY.md,3,EN,0
kokiebisu/rental-storage,SECURITY.md,3,EN,0
DaneeSkripter/DaneeCloud,SECURITY.md,3,EN,0
FabianaCampanari/My-Gifs,SECURITY.md,3,EN,0
VolkanSah/Linux-and-Bash-Tips-and-Tricks,SECURITY.md,0,EN,0
JeraCodeHub/SecOpsPublic,SECURITY.md,3,EN,0
cycodehq-public/.github,SECURITY.md,1,EN,0
eslutz/eslutz.github.io,.github/SECURITY.md,2,EN,0
till213/SkyDolly,SECURITY.md,3,EN,0
zidanegimiga/sondeka-voting,SECURITY.md,3,EN,0
corespace-api/api_token,SECURITY.md,3,EN,0
CSIRT-ID-dev/demo-repository,security.md,3,EN,0
Heitor91/Curso_Javascript-intro_HTML_e_CSS,SECURITY.md,3,EN,0
aptible/handbook,SECURITY.md,3,EN,0
aptible/handbook,about-aptible/security.md,2,EN,0
aptible/aptible-auth-ruby,SECURITY.md,3,EN,0
aptible/action-python-lockfile-update,SECURITY.md,3,EN,0
aptible/mini_ca,SECURITY.md,3,EN,0
aptible/docker-ubuntu,SECURITY.md,3,EN,0
cloudflare/wildebeest,SECURITY.md,1,EN,0
chill-viking/swa-sandbox,SECURITY.md,2,EN,0
statisticsnorway/dapla-toolbelt-pseudo,SECURITY.md,2,EN,0
